replication,apk,category,generating_script,kcontext,option_under_investigation,true_positive,successful,time,run_time,category_precision,category_recall,category_fmeasure,run_precision,run_recall,run_fmeasure,is_tp,is_fp,is_fn,sum_tp,sum_fp,sum_fn,precision,recall,f-measure
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,TRUE,21847,3981559,0.833333333,0.357142857,0.5,0.87804878,0.45,0.595041322,0,0,0,3,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button3.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,21168,3981559,0.833333333,0.357142857,0.5,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button4.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,20136,3981559,0.833333333,0.357142857,0.5,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button5.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,21617,3981559,0.833333333,0.357142857,0.5,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/LocationLeak1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,22284,3981559,0.833333333,0.357142857,0.5,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/LocationLeak2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,21454,3981559,0.833333333,0.357142857,0.5,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/LocationLeak3.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,21651,3981559,0.833333333,0.357142857,0.5,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/MethodOverride1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,20393,3981559,0.833333333,0.357142857,0.5,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/MultiHandlers1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,TRUE,21408,3981559,0.833333333,0.357142857,0.5,0.87804878,0.45,0.595041322,0,0,0,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/MultiHandlers1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,TRUE,22052,3981559,0.833333333,0.357142857,0.5,0.87804878,0.45,0.595041322,0,0,0,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Ordering1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,TRUE,21400,3981559,0.833333333,0.357142857,0.5,0.87804878,0.45,0.595041322,0,0,0,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/RegisterGlobal1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,21233,3981559,0.833333333,0.357142857,0.5,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/RegisterGlobal2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,20758,3981559,0.833333333,0.357142857,0.5,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,FALSE,20343,3981559,0.833333333,0.357142857,0.5,0.87804878,0.45,0.595041322,0,1,0,0,1,1,0,0,0
