repetition,apk,generating_script,num_flows,time,total_TP,detected_TP,total_FP,detected_FP,completed,run_time,option_under_investigation,kcontext
2,net.zygotelabs.locker_11.apk,config_Amandroid_default.xml,0,49412.11654,0,0,0,0,1,1544614.707,kcontext,1
2,org.dyndns.sven_ola.debian_kit_6.apk,config_Amandroid_default.xml,0,49408.66167,2,0,19,0,1,1544614.707,kcontext,1
2,io.github.lonamiwebs.klooni_820.apk,config_Amandroid_default.xml,0,50140.70889,0,0,0,0,1,1544614.707,kcontext,1
2,com.angrydoughnuts.android.alarmclock_15.apk,config_Amandroid_default.xml,0,50407.11383,27,0,215,0,1,1544614.707,kcontext,1
2,ru.henridellal.dialer_10.apk,config_Amandroid_default.xml,0,51254.83907,7,0,33,0,1,1544614.707,kcontext,1
2,com.miqote.shanawp_10.apk,config_Amandroid_default.xml,0,52247.46114,0,0,0,0,1,1544614.707,kcontext,1
2,io.github.alketii.mightyknight_1.apk,config_Amandroid_default.xml,0,50752.9649,0,0,0,0,1,1544614.707,kcontext,1
2,net.khertan.forrunners_101030.apk,config_Amandroid_default.xml,0,52236.82485,0,0,0,0,1,1544614.707,kcontext,1
2,jackpal.androidterm_72.apk,config_Amandroid_default.xml,0,50152.50116,1,0,40,0,1,1544614.707,kcontext,1
2,eu.polarclock_10.apk,config_Amandroid_default.xml,0,49728.65477,0,0,0,0,1,1544614.707,kcontext,1
2,daniel_32.flexiblewallpaper_2.apk,config_Amandroid_default.xml,0,51577.92206,1,0,0,0,1,1544614.707,kcontext,1
2,org.dnaq.dialer2_17.apk,config_Amandroid_default.xml,0,51578.71246,10,0,97,0,1,1544614.707,kcontext,1
2,pt.isec.tp.am_4.apk,config_Amandroid_default.xml,0,51168.7482,1,0,2,0,1,1544614.707,kcontext,1
2,anupam.acrylic_17.apk,config_Amandroid_default.xml,0,52353.87148,0,0,28,0,1,1544614.707,kcontext,1
2,org.zamedev.gloomydungeons2.opensource_1602221800.apk,config_Amandroid_default.xml,0,52397.66112,0,0,0,0,1,1544614.707,kcontext,1
2,nya.miku.wishmaster_54.apk,config_Amandroid_default.xml,0,51187.48518,3,0,82,0,1,1544614.707,kcontext,1
2,com.gitlab.ardash.appleflinger.android_1005006.apk,config_Amandroid_default.xml,0,52389.85097,0,0,0,0,1,1544614.707,kcontext,1
2,protect.budgetwatch_29.apk,config_Amandroid_default.xml,0,45776.56013,2,0,23,0,1,1544614.707,kcontext,1
2,com.notriddle.budget_44.apk,config_Amandroid_default.xml,0,52425.77312,2,0,8,0,1,1544614.707,kcontext,1
2,com.nutomic.ensichat_17.apk,config_Amandroid_default.xml,0,52344.08086,0,0,0,0,1,1544614.707,kcontext,1
2,eu.kanade.tachiyomi_41.apk,config_Amandroid_default.xml,0,46054.25983,1,0,0,0,1,1544614.707,kcontext,1
2,org.jfedor.frozenbubble_54.apk,config_Amandroid_default.xml,0,52425.08744,6,0,42,0,1,1544614.707,kcontext,1
2,org.tuxpaint_923.apk,config_Amandroid_default.xml,0,53601.10388,4,0,0,0,1,1544614.707,kcontext,1
2,net.osmand.plus_355.apk,config_Amandroid_default.xml,0,140453.2987,0,0,5,0,1,1544614.707,kcontext,1
3,org.dyndns.sven_ola.debian_kit_6.apk,config_Amandroid_default.xml,0,46141.96736,2,0,19,0,1,8524496.046,kcontext,1
3,com.nutomic.ensichat_17.apk,config_Amandroid_default.xml,0,46654.33564,0,0,0,0,1,8524496.046,kcontext,1
3,com.angrydoughnuts.android.alarmclock_15.apk,config_Amandroid_default.xml,0,44627.75333,27,0,215,0,1,8524496.046,kcontext,1
3,ru.henridellal.dialer_10.apk,config_Amandroid_default.xml,0,44137.50815,7,0,33,0,1,8524496.046,kcontext,1
3,eu.kanade.tachiyomi_41.apk,config_Amandroid_default.xml,0,21842.31932,1,0,0,0,1,8524496.046,kcontext,1
3,protect.budgetwatch_29.apk,config_Amandroid_default.xml,0,43715.535,2,0,23,0,1,8524496.046,kcontext,1
3,daniel_32.flexiblewallpaper_2.apk,config_Amandroid_default.xml,0,43635.08486,1,0,0,0,1,8524496.046,kcontext,1
3,trikita.talalarmo_19.apk,config_Amandroid_default.xml,0,45127.86257,0,0,0,0,1,8524496.046,kcontext,1
3,anupam.acrylic_17.apk,config_Amandroid_default.xml,0,45634.80264,0,0,28,0,1,8524496.046,kcontext,1
3,net.zygotelabs.locker_11.apk,config_Amandroid_default.xml,0,46636.29685,0,0,0,0,1,8524496.046,kcontext,1
3,net.tedstein.AndroSS_17.apk,config_Amandroid_default.xml,0,45630.05617,4,0,42,0,1,8524496.046,kcontext,1
3,uk.co.yahoo.p1rpp.calendartrigger_7.apk,config_Amandroid_default.xml,0,45124.74113,0,0,0,0,1,8524496.046,kcontext,1
