repetition,apk,config,num_flows,time,total_TP,detected_TP,total_FP,detected_FP,completed,option_under_investigation,true_positive,successful,time2,total time,completed3,category_precision,category_recall,category_fmeasure,run_precision,run_recall,run_fmeasure,aliasalgo,aplength,callbackanalyzer,codeelimination,cgalgo,dataflowsolver,implicit,maxcallbackspercomponent,maxcallbacksdepth,pathalgo,staticmode,taintwrapper,aliasflowins,analyzeframeworks,nocallbacks,noexceptions,nothischainreduction,onesourceatatime,onecomponentatatime,pathspecificresults,enablereflection,singlejoinpointabstraction
1,eu.kanade.tachiyomi_41.apk,config_FlowDroid_onecomponentatatime.xml,0,2587329.358,1,0,0,0,1,onecomponentatatime,TRUE,TRUE,15995,2929266,1,1,0.7,0.823529412,0.876404494,0.4875,0.626506024,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1,eu.kanade.tachiyomi_41.apk,config_FlowDroid_onesourceatatime.xml,0,1382416.036,1,0,0,0,1,onesourceatatime,TRUE,TRUE,17682,3315064,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1,eu.kanade.tachiyomi_41.apk,config_FlowDroid_pathalgocontextinsensitive.xml,0,203368.0031,1,0,0,0,1,pathalgo,TRUE,TRUE,15599,2994624,1,1,0.7,0.823529412,0.880434783,0.50625,0.642857143,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTINSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.kanade.tachiyomi_41.apk,config_FlowDroid_pathalgosourcesonly.xml,0,208694.3647,1,0,0,0,1,pathalgo,TRUE,TRUE,15732,5364464,1,1,0.6,0.75,0.877777778,0.49375,0.632,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,SOURCESONLY,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.kanade.tachiyomi_41.apk,config_FlowDroid_pathspecificresults.xml,0,528025.6311,1,0,0,0,1,pathspecificresults,TRUE,TRUE,15428,2959438,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1,eu.kanade.tachiyomi_41.apk,config_FlowDroid_singlejoinpointabstraction.xml,0,299998.3779,1,0,0,0,1,singlejoinpointabstraction,TRUE,TRUE,16593,2281580,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1,eu.kanade.tachiyomi_41.apk,config_FlowDroid_staticmodefins.xml,0,197682.12,1,0,0,0,1,staticmode,TRUE,TRUE,3711,1997431,1,1,0.7,0.823529412,0.882978723,0.51875,0.653543307,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,FLOWINSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.kanade.tachiyomi_41.apk,config_FlowDroid_staticmodenone.xml,0,227149.069,1,0,0,0,1,staticmode,TRUE,TRUE,3725,1997421,1,1,0.6,0.75,0.883116883,0.425,0.573839662,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.kanade.tachiyomi_41.apk,config_FlowDroid_taintwrapperdefaultfallback.xml,0,307461.506,1,0,0,0,1,taintwrapper,TRUE,TRUE,3726,2009630,1,1,0.7,0.823529412,0.882978723,0.51875,0.653543307,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULTFALLBACK,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.kanade.tachiyomi_41.apk,config_FlowDroid_taintwrappereasy.xml,1,202823.3117,1,0,0,0,1,taintwrapper,TRUE,TRUE,3710,1987484,1,1,0.8,0.888888889,0.885416667,0.53125,0.6640625,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,EASY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
