file,aliasalgo,aliasflowins,aplength,callbackanalyzer,codeelimination,cgalgo,dataflowsolver,analyzeframeworks,implicit,maxcallbackspercomponent,maxcallbacksdepth,nocallbacks,noexceptions,nothischainreduction,pathalgo,pathspecificresults,onesourceatatime,onecomponentatatime,enablereflection,singlejoinpointabstraction,staticmode,taintwrapper
"config_pathalgocontextinsensitive,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,CONTEXTINSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_pathalgosourcesonly,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,SOURCESONLY,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_pathspecificresults,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,TRUE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_onesourceatatime,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,TRUE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_onecomponentatatime,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,TRUE,FALSE,FALSE,DEFAULT,DEFAULT
"config_enablereflection,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,TRUE,FALSE,DEFAULT,DEFAULT
"config_singlejoinpointabstraction,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,TRUE,DEFAULT,DEFAULT
"config_staticmodecsfs,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT
"config_staticmodefins,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWINSENSITIVE,DEFAULT
"config_staticmodenone,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,DEFAULT
"config_taintwrappernone,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,NONE
"config_taintwrappereasy,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,EASY
"config_taintwrapperdefaultfallback,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULTFALLBACK
